sample_id,index,speaker,utt_id,target_word,mapped_correct,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,energy_fraction_0-0.5k,energy_fraction_0.5-2k,energy_fraction_2-4k,energy_fraction_4-8k
M02||229||darn,564,M02,229,darn,1,3.575,0.1644466307173639,0.0002000033855438,0.0001692773521893,59.748522451609446,3475.5903510660414,5890.625,1.7408394366127744,7.123912702920698,0.0253380154859858,0.2305160153222605,0.3996275594828284,0.3371541417412169
M02||231||knot,565,M02,231,knot,0,3.86,0.1119148157784286,0.0002000033855438,0.0001693591062023,56.40158062287088,3702.056723194248,6328.125,1.8152782389075783,7.673419205270361,0.0253398007685987,0.2263042700476603,0.3306109034429046,0.411872760309833
M02||233||wicked,566,M02,233,wicked,1,3.53,0.1711433257863913,0.0002000033855438,0.0001686775996568,60.12605110108439,3361.039379789789,5671.875,1.5352055152306217,6.253712653681306,0.0277301384004406,0.2652858179856305,0.373391163576398,0.3262264150455285
M02||234||bread,567,M02,234,bread,0,1.97,0.2627001928368205,0.0002000033855438,0.0001654356378308,64.01662642791914,3904.728213649708,6796.875,1.370074340734155,5.372070701882961,0.0271207627180759,0.2206117358393248,0.2909257721774234,0.4548954605603256
M02||238||hand,568,M02,238,hand,0,2.12,0.2122830246517797,0.0002000033855438,0.0001719047282157,61.83254889713278,3821.37344600796,6453.125,1.4587062659269792,5.748535041563414,0.027656981215619,0.1916315554533462,0.3396961345814389,0.4345080882516897
M02||239||witch,569,M02,239,witch,0,2.67,0.1830204278631918,0.0002000033855438,0.0001735236702714,60.46281682516465,3458.442878111357,6140.625,1.4158571693278494,5.329070390611065,0.030290748220531,0.2620572638283217,0.3530799724331263,0.3480699180865503
M02||240||sitter,570,M02,240,sitter,0,1.925,0.2601033781331833,0.0002000033855438,0.0001724216433862,63.57108425145831,3777.3174855202583,6671.875,1.1484930404923737,4.398360984437282,0.0257260692034462,0.2153228806022843,0.3463455429195761,0.4074714859596323
M02||241||said,571,M02,241,said,0,1.965,0.1877400764973458,0.0002000033855438,0.0001737449510031,60.672895951257104,4010.477558115556,7312.5,1.2462737835522617,4.91103973693144,0.0366249824233428,0.2370381967410604,0.2503088561624237,0.4700064565066894
M02||242||tread,572,M02,242,tread,0,2.85,0.125691607474656,0.0002000033855438,0.0001732452676485,57.21289800357176,4012.687226739405,6765.625,1.6242036286997692,6.857088329796478,0.0218825145200927,0.1731625990599983,0.3457971153923477,0.4515785913960807
M03||3||know,573,M03,3,know,0,2.59,0.0982899671662674,0.0002000033855438,0.0001676924710415,55.35991251294983,3588.5566259115512,6265.625,2.2995128836554537,9.807749112440575,0.0477762448973567,0.2458089036699872,0.2940481998434194,0.4050436982459854
